,value
Week1,99.02
Week2,113.61
Week3,105.36
Week4,91.72
Week5,118.19
Week6,102.32
Week7,113.62
Week8,104.48
Week9,97.27
Week10,113.53
Week11,117.33
Week12,96.22
Week13,106.45
Week14,117.86
Week15,124.68
Week16,88.26
Week17,82.38
Week18,127.35
Week19,124.04
Week20,111.18
Week21,129.43
Week22,106.56
Week23,140.97
Week24,85.18
Week25,112.58
Week26,92.8
Week27,101.04
Week28,97.54
Week29,129.26
Week30,94.84
Week31,109.45
Week32,104.09
Week33,107.49
Week34,100.27
Week35,126.36
Week36,113.28
Week37,126.78
Week38,150.65
Week39,143.54
Week40,129.08
Week41,123.81
Week42,80.03
Week43,99.89
Week44,100.62
Week45,129.99
Week46,125.85
Week47,117.12
Week48,105.74
Week49,118.87
Week50,128.54
Week51,106.99
Week52,132.05
