,value
Week1,114.74
Week2,115.59
Week3,125.39
Week4,91.91
Week5,95.12
Week6,91.31
Week7,84.05
Week8,82.81
Week9,99.65
Week10,96.68
Week11,63.21
Week12,110.38
Week13,125.18
Week14,98.92
Week15,80.07
Week16,92.79
Week17,97.04
Week18,97.05
Week19,92.45
Week20,93.06
Week21,97.83
Week22,76.45
Week23,112.13
Week24,88.73
Week25,78.15
Week26,103.97
Week27,68.9
Week28,73.56
Week29,96.87
Week30,90.12
Week31,74.29
Week32,97.42
Week33,75.86
Week34,74.27
Week35,100.92
Week36,58.55
Week37,74.64
Week38,93.65
Week39,63.2
Week40,76.84
Week41,93.36
Week42,48.96
Week43,81.75
Week44,107.46
Week45,81.77
Week46,95.64
Week47,110.02
Week48,40.42
Week49,91.79
Week50,61.47
Week51,103.12
Week52,84.1
