,value
Week1,89.28
Week2,88.08
Week3,117.45
Week4,85.4
Week5,104.86
Week6,101.18
Week7,79.91
Week8,102.99
Week9,90.88
Week10,109.95
Week11,97.23
Week12,82.06
Week13,95.19
Week14,77.75
Week15,99.54
Week16,84.72
Week17,83.61
Week18,87.13
Week19,101.25
Week20,76.77
Week21,109.13
Week22,94.96
Week23,92.4
Week24,113.48
Week25,63.1
Week26,88.37
Week27,90.74
Week28,99.22
Week29,83.96
Week30,88.35
Week31,94.22
Week32,90.01
Week33,75.67
Week34,72.02
Week35,95.08
Week36,99.72
Week37,89.63
Week38,96.56
Week39,91.2
Week40,71.7
Week41,73.9
Week42,94.92
Week43,65.43
Week44,79.42
Week45,82.14
Week46,70.51
Week47,92.9
Week48,92.73
Week49,71.06
Week50,94.7
Week51,79.27
Week52,43.99
