,value
Week1,98.76
Week2,90.82
Week3,111.11
Week4,101.22
Week5,77.46
Week6,74.23
Week7,97.95
Week8,80.09
Week9,82.58
Week10,107.26
Week11,114.34
Week12,98.96
Week13,122.37
Week14,106.12
Week15,75.6
Week16,67.15
Week17,100.83
Week18,89.25
Week19,95.25
Week20,103.99
Week21,102.28
Week22,138.58
Week23,108.94
Week24,115.69
Week25,76.54
Week26,127.96
Week27,101.49
Week28,99.95
Week29,120.01
Week30,98.37
Week31,101.53
Week32,83.39
Week33,108.09
Week34,142.46
Week35,88.22
Week36,91.95
Week37,114.02
Week38,121.31
Week39,115.24
Week40,144.61
Week41,99.63
Week42,101.78
Week43,97.47
Week44,119.18
Week45,97.44
Week46,134.64
Week47,111.71
Week48,106.42
Week49,129.0
Week50,131.47
Week51,103.99
Week52,155.79
