,value
Week1,97.9
Week2,74.99
Week3,72.75
Week4,87.39
Week5,124.16
Week6,82.58
Week7,129.64
Week8,118.94
Week9,99.26
Week10,102.52
Week11,103.08
Week12,102.89
Week13,99.67
Week14,110.74
Week15,118.0
Week16,69.42
Week17,117.19
Week18,96.08
Week19,116.27
Week20,101.93
Week21,83.68
Week22,112.49
Week23,120.68
Week24,114.22
Week25,140.52
Week26,110.86
Week27,105.56
Week28,108.86
Week29,112.69
Week30,131.14
Week31,121.69
Week32,125.24
Week33,99.55
Week34,122.03
Week35,106.98
Week36,107.82
Week37,119.18
Week38,103.1
Week39,129.6
Week40,122.8
Week41,111.17
Week42,80.86
Week43,114.52
Week44,116.43
Week45,122.08
Week46,133.9
Week47,105.32
Week48,96.56
Week49,151.33
Week50,119.74
Week51,106.1
Week52,116.66
