,value
Week1,95.61
Week2,85.19
Week3,88.04
Week4,78.3
Week5,101.59
Week6,99.25
Week7,84.45
Week8,87.18
Week9,120.37
Week10,100.12
Week11,95.64
Week12,110.54
Week13,80.03
Week14,100.02
Week15,91.15
Week16,94.21
Week17,114.29
Week18,90.81
Week19,112.28
Week20,109.9
Week21,51.47
Week22,108.53
Week23,129.9
Week24,87.99
Week25,98.93
Week26,81.2
Week27,111.68
Week28,95.42
Week29,93.87
Week30,96.9
Week31,101.73
Week32,115.13
Week33,115.89
Week34,122.47
Week35,99.62
Week36,94.11
Week37,99.84
Week38,97.55
Week39,92.64
Week40,140.62
Week41,93.91
Week42,120.76
Week43,123.82
Week44,123.67
Week45,106.56
Week46,103.66
Week47,106.98
Week48,122.63
Week49,98.57
Week50,116.47
Week51,103.46
Week52,126.17
