,value
Week1,84.41
Week2,99.12
Week3,70.54
Week4,95.93
Week5,111.47
Week6,109.97
Week7,131.85
Week8,110.59
Week9,112.59
Week10,56.92
Week11,115.4
Week12,87.8
Week13,97.74
Week14,99.02
Week15,100.52
Week16,122.76
Week17,112.29
Week18,134.66
Week19,90.77
Week20,122.28
Week21,136.94
Week22,128.29
Week23,126.27
Week24,99.59
Week25,108.51
Week26,134.88
Week27,114.27
Week28,109.12
Week29,104.41
Week30,118.91
Week31,115.84
Week32,97.24
Week33,91.77
Week34,102.2
Week35,112.32
Week36,109.93
Week37,97.63
Week38,99.88
Week39,103.71
Week40,95.53
Week41,127.53
Week42,93.44
Week43,109.46
Week44,112.06
Week45,137.71
Week46,125.66
Week47,120.09
Week48,133.99
Week49,143.37
Week50,138.92
Week51,112.65
Week52,113.04
