,value
Week1,82.83
Week2,114.62
Week3,109.86
Week4,95.92
Week5,83.3
Week6,95.32
Week7,106.48
Week8,119.1
Week9,71.74
Week10,97.52
Week11,100.33
Week12,120.94
Week13,99.72
Week14,111.05
Week15,82.73
Week16,103.14
Week17,95.66
Week18,110.89
Week19,68.19
Week20,135.98
Week21,81.83
Week22,112.96
Week23,109.48
Week24,71.81
Week25,126.35
Week26,129.9
Week27,142.82
Week28,84.82
Week29,106.73
Week30,119.44
Week31,119.8
Week32,143.09
Week33,104.33
Week34,121.71
Week35,139.31
Week36,98.03
Week37,103.52
Week38,101.77
Week39,141.38
Week40,98.57
Week41,115.72
Week42,87.65
Week43,126.37
Week44,102.46
Week45,134.65
Week46,92.8
Week47,120.21
Week48,108.72
Week49,100.01
Week50,135.64
Week51,120.96
Week52,123.07
