,value
Week1,100.42
Week2,93.56
Week3,84.88
Week4,115.26
Week5,92.5
Week6,87.15
Week7,98.04
Week8,69.49
Week9,94.41
Week10,84.78
Week11,66.72
Week12,83.06
Week13,83.26
Week14,87.25
Week15,64.59
Week16,94.81
Week17,97.69
Week18,110.56
Week19,96.3
Week20,88.61
Week21,67.56
Week22,102.32
Week23,109.67
Week24,89.69
Week25,91.59
Week26,107.64
Week27,93.68
Week28,72.03
Week29,66.07
Week30,91.56
Week31,91.59
Week32,80.76
Week33,84.89
Week34,93.33
Week35,87.15
Week36,83.05
Week37,112.4
Week38,67.32
Week39,77.81
Week40,77.07
Week41,76.84
Week42,70.07
Week43,116.72
Week44,90.91
Week45,94.03
Week46,85.45
Week47,71.32
Week48,68.57
Week49,79.05
Week50,75.95
Week51,81.1
Week52,55.81
