,value
Week1,110.0
Week2,95.15
Week3,105.05
Week4,109.62
Week5,84.76
Week6,108.88
Week7,100.27
Week8,103.21
Week9,98.07
Week10,113.77
Week11,98.74
Week12,114.7
Week13,99.23
Week14,130.82
Week15,99.84
Week16,118.08
Week17,111.89
Week18,82.82
Week19,92.5
Week20,72.61
Week21,102.39
Week22,85.65
Week23,130.76
Week24,102.01
Week25,91.45
Week26,70.94
Week27,107.72
Week28,99.33
Week29,90.64
Week30,88.9
Week31,98.72
Week32,64.15
Week33,83.5
Week34,96.85
Week35,87.5
Week36,47.47
Week37,90.27
Week38,89.5
Week39,87.12
Week40,103.83
Week41,91.72
Week42,109.48
Week43,73.34
Week44,81.65
Week45,84.01
Week46,71.5
Week47,81.93
Week48,109.13
Week49,67.94
Week50,92.47
Week51,63.6
Week52,79.43
