,value
Week1,68.87
Week2,92.84
Week3,106.4
Week4,108.5
Week5,122.0
Week6,88.44
Week7,110.51
Week8,131.18
Week9,97.31
Week10,109.48
Week11,82.22
Week12,107.81
Week13,88.36
Week14,111.37
Week15,105.94
Week16,97.54
Week17,114.22
Week18,86.39
Week19,85.37
Week20,88.47
Week21,86.49
Week22,95.61
Week23,87.8
Week24,108.67
Week25,123.38
Week26,82.15
Week27,112.78
Week28,102.36
Week29,68.33
Week30,83.74
Week31,79.81
Week32,97.37
Week33,131.4
Week34,92.28
Week35,88.13
Week36,77.86
Week37,67.88
Week38,85.31
Week39,60.84
Week40,64.07
Week41,56.72
Week42,81.13
Week43,65.28
Week44,58.6
Week45,86.78
Week46,73.42
Week47,74.39
Week48,81.74
Week49,72.63
Week50,94.83
Week51,55.21
Week52,100.08
