,value
Week1,112.12
Week2,138.28
Week3,86.0
Week4,76.69
Week5,130.43
Week6,100.3
Week7,83.63
Week8,103.82
Week9,106.49
Week10,106.5
Week11,86.22
Week12,105.35
Week13,77.33
Week14,109.12
Week15,111.62
Week16,108.64
Week17,132.37
Week18,108.0
Week19,85.96
Week20,100.33
Week21,96.72
Week22,129.2
Week23,117.27
Week24,101.05
Week25,115.87
Week26,105.35
Week27,94.74
Week28,94.28
Week29,101.41
Week30,105.43
Week31,113.1
Week32,120.57
Week33,115.44
Week34,103.74
Week35,132.89
Week36,110.35
Week37,108.88
Week38,114.33
Week39,94.56
Week40,120.37
Week41,140.03
Week42,102.79
Week43,144.47
Week44,143.78
Week45,119.97
Week46,75.94
Week47,116.9
Week48,103.35
Week49,122.54
Week50,94.64
Week51,105.4
Week52,129.75
