,value
Week1,111.08
Week2,101.17
Week3,104.19
Week4,84.69
Week5,87.05
Week6,113.84
Week7,117.02
Week8,99.91
Week9,104.21
Week10,94.35
Week11,120.13
Week12,97.5
Week13,110.63
Week14,65.45
Week15,95.7
Week16,132.6
Week17,115.41
Week18,100.02
Week19,103.09
Week20,83.77
Week21,119.28
Week22,75.97
Week23,80.68
Week24,82.26
Week25,68.15
Week26,104.81
Week27,119.19
Week28,107.61
Week29,116.77
Week30,100.52
Week31,112.46
Week32,82.1
Week33,103.11
Week34,102.3
Week35,100.12
Week36,84.0
Week37,94.53
Week38,78.83
Week39,80.71
Week40,108.37
Week41,67.71
Week42,98.82
Week43,102.58
Week44,88.89
Week45,71.15
Week46,79.07
Week47,91.13
Week48,74.8
Week49,90.97
Week50,66.61
Week51,101.42
Week52,49.03
