,value
Week1,105.65
Week2,94.64
Week3,133.97
Week4,94.18
Week5,89.47
Week6,82.6
Week7,90.13
Week8,110.59
Week9,95.43
Week10,102.23
Week11,109.02
Week12,144.41
Week13,110.9
Week14,77.97
Week15,104.01
Week16,117.3
Week17,122.68
Week18,83.45
Week19,133.09
Week20,101.21
Week21,113.87
Week22,106.52
Week23,108.78
Week24,114.18
Week25,97.97
Week26,113.79
Week27,144.06
Week28,110.72
Week29,114.01
Week30,91.35
Week31,102.84
Week32,78.55
Week33,107.92
Week34,123.04
Week35,106.04
Week36,110.91
Week37,124.39
Week38,117.51
Week39,115.04
Week40,98.16
Week41,116.76
Week42,121.07
Week43,114.02
Week44,107.28
Week45,111.53
Week46,104.48
Week47,99.74
Week48,107.65
Week49,130.46
Week50,115.06
Week51,153.27
Week52,108.5
