,value
Week1,108.78
Week2,79.23
Week3,98.29
Week4,92.65
Week5,93.0
Week6,118.13
Week7,112.2
Week8,99.07
Week9,113.75
Week10,62.87
Week11,99.16
Week12,91.84
Week13,83.12
Week14,85.52
Week15,81.62
Week16,75.13
Week17,91.43
Week18,107.45
Week19,95.8
Week20,120.81
Week21,97.96
Week22,90.2
Week23,86.9
Week24,110.29
Week25,94.28
Week26,108.02
Week27,87.85
Week28,99.03
Week29,74.03
Week30,100.26
Week31,107.64
Week32,101.67
Week33,78.81
Week34,97.74
Week35,78.84
Week36,89.37
Week37,107.19
Week38,77.2
Week39,95.65
Week40,79.8
Week41,58.36
Week42,84.21
Week43,52.76
Week44,74.73
Week45,114.37
Week46,74.27
Week47,75.1
Week48,99.29
Week49,81.78
Week50,89.15
Week51,74.96
Week52,76.13
