,value
Week1,89.74
Week2,93.61
Week3,86.05
Week4,92.8
Week5,100.17
Week6,104.94
Week7,78.74
Week8,91.26
Week9,89.84
Week10,108.48
Week11,111.02
Week12,87.91
Week13,101.72
Week14,115.41
Week15,94.56
Week16,76.42
Week17,95.69
Week18,112.21
Week19,122.33
Week20,142.65
Week21,120.82
Week22,62.01
Week23,101.83
Week24,121.78
Week25,134.71
Week26,97.54
Week27,101.72
Week28,108.08
Week29,129.25
Week30,116.18
Week31,98.5
Week32,104.42
Week33,98.82
Week34,128.41
Week35,118.93
Week36,109.29
Week37,100.09
Week38,101.13
Week39,138.57
Week40,113.75
Week41,153.19
Week42,127.29
Week43,106.74
Week44,107.25
Week45,106.75
Week46,111.05
Week47,136.0
Week48,90.08
Week49,116.87
Week50,98.33
Week51,112.89
Week52,124.81
