,value
Week1,92.7
Week2,106.26
Week3,103.79
Week4,109.19
Week5,85.9
Week6,127.01
Week7,97.53
Week8,83.52
Week9,105.75
Week10,89.31
Week11,109.47
Week12,124.68
Week13,94.42
Week14,86.47
Week15,72.76
Week16,98.36
Week17,70.69
Week18,88.76
Week19,97.33
Week20,93.44
Week21,75.29
Week22,95.98
Week23,86.87
Week24,82.34
Week25,78.86
Week26,85.26
Week27,73.94
Week28,90.93
Week29,99.52
Week30,99.96
Week31,102.44
Week32,108.97
Week33,103.24
Week34,97.16
Week35,69.73
Week36,63.94
Week37,74.9
Week38,97.13
Week39,78.22
Week40,76.88
Week41,80.62
Week42,91.17
Week43,71.68
Week44,71.2
Week45,72.36
Week46,103.35
Week47,101.29
Week48,79.23
Week49,92.17
Week50,96.94
Week51,65.51
Week52,96.71
