,value
Week1,116.29
Week2,88.12
Week3,110.2
Week4,103.61
Week5,121.12
Week6,100.19
Week7,91.2
Week8,94.64
Week9,111.38
Week10,94.29
Week11,114.19
Week12,106.26
Week13,86.2
Week14,108.28
Week15,101.36
Week16,106.29
Week17,108.4
Week18,129.89
Week19,129.94
Week20,118.23
Week21,111.11
Week22,125.26
Week23,103.07
Week24,107.98
Week25,113.04
Week26,137.87
Week27,118.13
Week28,119.4
Week29,100.67
Week30,98.6
Week31,111.25
Week32,105.33
Week33,104.03
Week34,126.58
Week35,125.69
Week36,124.77
Week37,94.91
Week38,108.13
Week39,128.45
Week40,127.12
Week41,114.99
Week42,111.23
Week43,114.82
Week44,98.47
Week45,111.91
Week46,115.1
Week47,135.12
Week48,141.83
Week49,103.28
Week50,120.67
Week51,132.09
Week52,99.23
