,value
Week1,121.31
Week2,110.63
Week3,115.68
Week4,101.4
Week5,104.41
Week6,135.43
Week7,110.11
Week8,88.18
Week9,114.21
Week10,107.67
Week11,115.33
Week12,111.85
Week13,101.87
Week14,92.35
Week15,86.68
Week16,102.59
Week17,92.96
Week18,103.29
Week19,125.25
Week20,109.2
Week21,118.5
Week22,101.31
Week23,87.51
Week24,129.75
Week25,90.54
Week26,107.44
Week27,112.56
Week28,117.89
Week29,96.83
Week30,102.9
Week31,89.15
Week32,99.32
Week33,94.98
Week34,91.07
Week35,118.08
Week36,100.22
Week37,126.13
Week38,98.2
Week39,98.63
Week40,107.17
Week41,85.1
Week42,89.31
Week43,80.2
Week44,108.2
Week45,112.33
Week46,120.73
Week47,75.25
Week48,91.02
Week49,88.09
Week50,111.67
Week51,82.11
Week52,74.5
