,value
Week1,94.99
Week2,82.65
Week3,93.23
Week4,100.63
Week5,109.78
Week6,96.06
Week7,103.14
Week8,108.98
Week9,131.12
Week10,75.85
Week11,74.59
Week12,91.88
Week13,94.8
Week14,104.05
Week15,111.67
Week16,110.75
Week17,93.59
Week18,90.44
Week19,95.44
Week20,72.17
Week21,87.5
Week22,83.68
Week23,78.34
Week24,95.18
Week25,76.57
Week26,75.43
Week27,87.64
Week28,80.2
Week29,79.25
Week30,76.71
Week31,105.01
Week32,82.06
Week33,100.0
Week34,102.9
Week35,80.55
Week36,86.43
Week37,77.74
Week38,93.26
Week39,73.34
Week40,92.65
Week41,88.78
Week42,54.51
Week43,102.45
Week44,90.37
Week45,72.31
Week46,90.51
Week47,88.32
Week48,78.04
Week49,84.93
Week50,69.56
Week51,104.2
Week52,83.39
