,value
Week1,75.39
Week2,113.74
Week3,97.87
Week4,79.62
Week5,111.86
Week6,92.82
Week7,96.41
Week8,67.14
Week9,112.21
Week10,139.86
Week11,118.33
Week12,97.77
Week13,101.92
Week14,128.04
Week15,81.67
Week16,103.07
Week17,101.65
Week18,103.58
Week19,72.24
Week20,95.52
Week21,86.37
Week22,99.05
Week23,88.03
Week24,92.6
Week25,77.22
Week26,99.96
Week27,120.95
Week28,88.09
Week29,85.52
Week30,73.29
Week31,74.36
Week32,80.47
Week33,96.2
Week34,61.15
Week35,95.66
Week36,90.54
Week37,74.06
Week38,84.94
Week39,89.72
Week40,86.43
Week41,89.29
Week42,103.42
Week43,106.63
Week44,62.03
Week45,55.87
Week46,104.35
Week47,66.6
Week48,68.59
Week49,96.49
Week50,92.84
Week51,61.62
Week52,84.08
