,value
Week1,117.63
Week2,110.07
Week3,90.25
Week4,74.95
Week5,73.61
Week6,132.19
Week7,84.49
Week8,90.52
Week9,91.5
Week10,106.07
Week11,86.26
Week12,103.02
Week13,97.7
Week14,80.68
Week15,87.66
Week16,110.18
Week17,111.84
Week18,98.15
Week19,68.54
Week20,123.4
Week21,95.66
Week22,97.5
Week23,111.98
Week24,117.08
Week25,113.66
Week26,88.23
Week27,104.65
Week28,96.93
Week29,122.26
Week30,119.54
Week31,95.62
Week32,135.52
Week33,94.14
Week34,92.18
Week35,113.23
Week36,131.51
Week37,111.17
Week38,88.27
Week39,119.14
Week40,96.97
Week41,126.13
Week42,107.35
Week43,106.39
Week44,106.52
Week45,117.48
Week46,126.09
Week47,107.93
Week48,109.62
Week49,109.19
Week50,81.89
Week51,101.46
Week52,131.03
