,value
Week1,105.37
Week2,87.4
Week3,90.44
Week4,103.72
Week5,117.19
Week6,87.38
Week7,82.6
Week8,110.13
Week9,103.02
Week10,114.17
Week11,114.37
Week12,114.49
Week13,105.84
Week14,99.56
Week15,84.81
Week16,123.87
Week17,89.0
Week18,120.08
Week19,101.26
Week20,116.02
Week21,91.57
Week22,80.8
Week23,91.89
Week24,112.37
Week25,121.72
Week26,103.46
Week27,118.84
Week28,127.88
Week29,106.9
Week30,93.73
Week31,145.75
Week32,127.64
Week33,102.07
Week34,118.8
Week35,108.79
Week36,121.75
Week37,118.48
Week38,103.44
Week39,108.18
Week40,107.96
Week41,135.07
Week42,130.53
Week43,106.73
Week44,109.87
Week45,119.76
Week46,148.81
Week47,136.72
Week48,135.08
Week49,114.52
Week50,110.76
Week51,129.15
Week52,91.84
