,value
Week1,111.23
Week2,87.25
Week3,101.84
Week4,88.05
Week5,102.47
Week6,79.03
Week7,114.65
Week8,96.79
Week9,84.68
Week10,115.28
Week11,84.46
Week12,77.54
Week13,110.38
Week14,103.5
Week15,132.21
Week16,98.36
Week17,105.34
Week18,90.7
Week19,88.2
Week20,96.34
Week21,124.5
Week22,102.35
Week23,134.15
Week24,96.81
Week25,95.52
Week26,112.62
Week27,126.12
Week28,104.76
Week29,126.16
Week30,93.88
Week31,93.49
Week32,102.89
Week33,93.75
Week34,94.62
Week35,134.97
Week36,121.14
Week37,123.06
Week38,97.89
Week39,107.9
Week40,103.51
Week41,145.45
Week42,119.8
Week43,131.66
Week44,133.7
Week45,117.88
Week46,110.43
Week47,111.67
Week48,115.85
Week49,121.2
Week50,103.94
Week51,126.92
Week52,111.73
