,value
Week1,57.61
Week2,87.48
Week3,102.11
Week4,108.86
Week5,107.86
Week6,107.21
Week7,94.38
Week8,137.2
Week9,97.42
Week10,78.7
Week11,84.57
Week12,107.58
Week13,91.48
Week14,85.58
Week15,97.21
Week16,116.55
Week17,77.46
Week18,108.55
Week19,110.34
Week20,112.19
Week21,112.17
Week22,112.45
Week23,100.72
Week24,82.69
Week25,119.17
Week26,100.95
Week27,86.87
Week28,103.03
Week29,96.0
Week30,119.03
Week31,94.39
Week32,136.5
Week33,115.3
Week34,92.05
Week35,101.69
Week36,91.55
Week37,132.11
Week38,111.46
Week39,121.8
Week40,118.88
Week41,128.53
Week42,114.39
Week43,126.34
Week44,139.59
Week45,120.91
Week46,94.15
Week47,115.13
Week48,145.16
Week49,128.62
Week50,139.84
Week51,139.83
Week52,105.21
