,value
Week1,138.92
Week2,85.29
Week3,86.74
Week4,112.96
Week5,117.93
Week6,82.79
Week7,104.77
Week8,103.53
Week9,105.07
Week10,117.17
Week11,83.13
Week12,96.66
Week13,67.49
Week14,75.88
Week15,117.31
Week16,98.69
Week17,87.86
Week18,96.25
Week19,84.15
Week20,90.61
Week21,96.44
Week22,83.76
Week23,99.72
Week24,96.94
Week25,100.15
Week26,99.79
Week27,111.01
Week28,83.88
Week29,111.24
Week30,78.62
Week31,88.46
Week32,75.25
Week33,94.42
Week34,91.14
Week35,91.94
Week36,56.69
Week37,82.62
Week38,86.59
Week39,82.21
Week40,77.56
Week41,46.29
Week42,109.23
Week43,87.61
Week44,52.29
Week45,79.22
Week46,93.7
Week47,76.58
Week48,81.66
Week49,92.84
Week50,93.15
Week51,69.04
Week52,92.28
