,value
Week1,104.28
Week2,119.24
Week3,106.85
Week4,88.67
Week5,120.02
Week6,111.07
Week7,108.78
Week8,94.34
Week9,83.03
Week10,101.43
Week11,73.67
Week12,76.49
Week13,82.63
Week14,94.28
Week15,90.76
Week16,98.89
Week17,96.93
Week18,103.17
Week19,102.99
Week20,101.76
Week21,65.2
Week22,99.74
Week23,88.21
Week24,123.61
Week25,97.89
Week26,85.74
Week27,70.29
Week28,114.41
Week29,86.87
Week30,84.62
Week31,121.47
Week32,123.22
Week33,87.72
Week34,76.2
Week35,101.32
Week36,61.91
Week37,116.62
Week38,79.97
Week39,88.09
Week40,103.62
Week41,87.49
Week42,86.36
Week43,102.73
Week44,84.5
Week45,71.4
Week46,84.37
Week47,93.23
Week48,89.46
Week49,88.77
Week50,69.64
Week51,104.98
Week52,70.53
