,value
Week1,96.73
Week2,128.11
Week3,74.28
Week4,120.33
Week5,103.27
Week6,102.98
Week7,102.88
Week8,114.01
Week9,97.09
Week10,99.76
Week11,70.88
Week12,91.56
Week13,77.79
Week14,94.94
Week15,90.99
Week16,115.43
Week17,107.75
Week18,86.66
Week19,95.09
Week20,88.52
Week21,82.94
Week22,83.76
Week23,89.06
Week24,71.11
Week25,101.26
Week26,84.95
Week27,67.82
Week28,96.93
Week29,65.32
Week30,85.72
Week31,91.47
Week32,92.32
Week33,114.27
Week34,89.11
Week35,90.91
Week36,122.49
Week37,48.89
Week38,99.09
Week39,91.59
Week40,88.04
Week41,64.0
Week42,97.94
Week43,62.53
Week44,82.5
Week45,98.81
Week46,75.01
Week47,87.69
Week48,55.87
Week49,79.48
Week50,80.15
Week51,79.6
Week52,80.04
