,value
Week1,105.47
Week2,113.04
Week3,119.16
Week4,69.88
Week5,88.41
Week6,105.95
Week7,88.63
Week8,113.51
Week9,95.74
Week10,123.53
Week11,115.85
Week12,101.77
Week13,117.31
Week14,115.83
Week15,117.78
Week16,117.82
Week17,81.61
Week18,88.91
Week19,85.78
Week20,104.03
Week21,115.26
Week22,86.78
Week23,126.81
Week24,100.37
Week25,102.99
Week26,122.24
Week27,135.28
Week28,111.64
Week29,117.6
Week30,125.05
Week31,121.66
Week32,95.7
Week33,110.74
Week34,120.01
Week35,113.29
Week36,98.36
Week37,112.17
Week38,119.12
Week39,115.19
Week40,121.28
Week41,108.05
Week42,123.35
Week43,110.73
Week44,134.51
Week45,130.23
Week46,141.64
Week47,127.94
Week48,124.22
Week49,125.55
Week50,136.25
Week51,141.91
Week52,106.3
