,value
Week1,95.48
Week2,98.61
Week3,79.6
Week4,77.47
Week5,112.86
Week6,114.18
Week7,103.9
Week8,88.03
Week9,97.1
Week10,117.22
Week11,91.57
Week12,98.7
Week13,89.88
Week14,110.19
Week15,69.17
Week16,86.89
Week17,91.13
Week18,83.42
Week19,102.75
Week20,85.14
Week21,99.06
Week22,124.94
Week23,78.27
Week24,93.87
Week25,78.45
Week26,90.49
Week27,117.92
Week28,78.8
Week29,100.62
Week30,67.92
Week31,95.65
Week32,86.03
Week33,62.78
Week34,62.1
Week35,98.63
Week36,96.95
Week37,75.76
Week38,74.91
Week39,82.62
Week40,71.63
Week41,58.73
Week42,87.3
Week43,70.97
Week44,77.54
Week45,83.28
Week46,92.88
Week47,83.02
Week48,79.08
Week49,96.28
Week50,77.69
Week51,82.94
Week52,52.71
