,value
Week1,85.36
Week2,85.96
Week3,118.89
Week4,97.44
Week5,112.49
Week6,79.23
Week7,104.68
Week8,132.49
Week9,96.79
Week10,87.07
Week11,105.91
Week12,93.57
Week13,95.91
Week14,125.1
Week15,88.43
Week16,115.99
Week17,94.26
Week18,98.9
Week19,81.13
Week20,90.05
Week21,87.78
Week22,119.59
Week23,92.99
Week24,106.79
Week25,79.87
Week26,74.03
Week27,103.63
Week28,45.94
Week29,91.42
Week30,80.26
Week31,85.38
Week32,96.87
Week33,73.04
Week34,77.65
Week35,68.64
Week36,103.04
Week37,86.22
Week38,69.28
Week39,99.13
Week40,88.61
Week41,93.74
Week42,70.86
Week43,80.99
Week44,55.55
Week45,101.56
Week46,94.98
Week47,78.65
Week48,80.89
Week49,65.05
Week50,75.39
Week51,76.46
Week52,69.83
