,value
Week1,89.43
Week2,104.46
Week3,109.28
Week4,76.63
Week5,102.03
Week6,112.19
Week7,117.32
Week8,102.5
Week9,97.19
Week10,98.62
Week11,99.68
Week12,85.77
Week13,81.1
Week14,96.67
Week15,111.99
Week16,95.0
Week17,92.11
Week18,109.8
Week19,99.61
Week20,93.13
Week21,119.32
Week22,105.04
Week23,121.28
Week24,134.32
Week25,94.68
Week26,113.22
Week27,143.55
Week28,125.94
Week29,127.67
Week30,133.77
Week31,91.8
Week32,92.37
Week33,132.57
Week34,125.65
Week35,102.69
Week36,111.55
Week37,114.87
Week38,100.57
Week39,113.71
Week40,150.04
Week41,144.38
Week42,128.64
Week43,115.11
Week44,117.15
Week45,128.09
Week46,117.22
Week47,109.29
Week48,131.99
Week49,167.65
Week50,128.54
Week51,134.38
Week52,125.88
