,value
Week1,78.81
Week2,90.67
Week3,76.84
Week4,75.16
Week5,96.15
Week6,113.81
Week7,90.42
Week8,100.35
Week9,123.24
Week10,115.92
Week11,91.0
Week12,117.97
Week13,116.78
Week14,112.96
Week15,110.88
Week16,109.46
Week17,116.99
Week18,72.24
Week19,99.61
Week20,115.5
Week21,107.92
Week22,88.54
Week23,105.13
Week24,85.25
Week25,90.03
Week26,99.71
Week27,102.68
Week28,116.66
Week29,127.15
Week30,102.55
Week31,128.25
Week32,101.91
Week33,97.64
Week34,121.68
Week35,104.32
Week36,133.27
Week37,141.02
Week38,105.23
Week39,112.61
Week40,125.18
Week41,81.84
Week42,124.79
Week43,133.0
Week44,124.21
Week45,116.07
Week46,101.36
Week47,131.21
Week48,91.74
Week49,113.86
Week50,120.78
Week51,102.43
Week52,112.36
