,value
Week1,100.22
Week2,123.7
Week3,117.22
Week4,105.53
Week5,126.8
Week6,91.83
Week7,99.79
Week8,104.84
Week9,108.89
Week10,77.12
Week11,91.28
Week12,114.24
Week13,126.62
Week14,113.78
Week15,117.96
Week16,102.63
Week17,106.03
Week18,97.23
Week19,92.82
Week20,84.83
Week21,92.84
Week22,99.96
Week23,100.35
Week24,90.84
Week25,95.17
Week26,109.59
Week27,143.05
Week28,110.0
Week29,110.46
Week30,105.82
Week31,113.09
Week32,103.98
Week33,102.34
Week34,122.28
Week35,90.09
Week36,118.78
Week37,131.55
Week38,126.27
Week39,105.89
Week40,140.97
Week41,130.53
Week42,112.92
Week43,123.87
Week44,83.69
Week45,117.79
Week46,145.15
Week47,96.05
Week48,128.86
Week49,127.21
Week50,110.6
Week51,121.56
Week52,121.74
