,value
Week1,112.16
Week2,79.53
Week3,102.42
Week4,105.8
Week5,107.77
Week6,113.26
Week7,89.94
Week8,112.99
Week9,87.86
Week10,112.18
Week11,114.29
Week12,94.91
Week13,79.34
Week14,104.75
Week15,101.43
Week16,78.54
Week17,107.13
Week18,97.81
Week19,77.71
Week20,81.77
Week21,89.1
Week22,87.83
Week23,103.66
Week24,88.28
Week25,67.59
Week26,76.81
Week27,66.42
Week28,60.67
Week29,84.5
Week30,53.96
Week31,95.72
Week32,80.36
Week33,110.28
Week34,81.01
Week35,95.44
Week36,79.2
Week37,112.81
Week38,89.92
Week39,71.97
Week40,95.43
Week41,79.41
Week42,55.17
Week43,88.12
Week44,58.59
Week45,90.96
Week46,64.66
Week47,72.04
Week48,84.62
Week49,50.35
Week50,99.19
Week51,75.77
Week52,64.03
