,value
Week1,87.65
Week2,90.59
Week3,82.44
Week4,85.14
Week5,98.03
Week6,100.47
Week7,80.04
Week8,111.94
Week9,110.32
Week10,93.06
Week11,123.22
Week12,133.96
Week13,121.36
Week14,103.0
Week15,110.6
Week16,101.58
Week17,95.56
Week18,115.22
Week19,112.65
Week20,101.88
Week21,101.38
Week22,84.02
Week23,97.05
Week24,97.16
Week25,124.31
Week26,128.53
Week27,97.78
Week28,115.28
Week29,120.81
Week30,119.37
Week31,114.16
Week32,113.7
Week33,125.29
Week34,119.05
Week35,121.67
Week36,116.89
Week37,99.18
Week38,120.16
Week39,106.63
Week40,105.68
Week41,130.42
Week42,134.61
Week43,125.55
Week44,115.03
Week45,127.67
Week46,114.98
Week47,114.18
Week48,128.28
Week49,120.53
Week50,128.47
Week51,112.96
Week52,129.55
