,value
Week1,95.6
Week2,85.72
Week3,88.35
Week4,116.91
Week5,101.03
Week6,111.98
Week7,96.25
Week8,114.39
Week9,113.51
Week10,94.09
Week11,84.57
Week12,89.31
Week13,114.47
Week14,145.54
Week15,122.68
Week16,125.11
Week17,131.68
Week18,110.43
Week19,88.93
Week20,126.76
Week21,126.59
Week22,87.34
Week23,107.34
Week24,97.26
Week25,75.0
Week26,108.38
Week27,90.41
Week28,102.43
Week29,79.51
Week30,100.48
Week31,114.34
Week32,117.22
Week33,98.24
Week34,91.33
Week35,136.51
Week36,103.37
Week37,113.24
Week38,115.39
Week39,97.85
Week40,92.07
Week41,119.61
Week42,122.09
Week43,135.36
Week44,94.87
Week45,115.06
Week46,118.8
Week47,100.61
Week48,135.98
Week49,136.91
Week50,110.22
Week51,102.63
Week52,139.81
