,value
Week1,109.23
Week2,85.6
Week3,111.52
Week4,91.55
Week5,80.0
Week6,80.8
Week7,99.01
Week8,84.24
Week9,81.61
Week10,91.99
Week11,93.52
Week12,99.41
Week13,83.4
Week14,94.06
Week15,82.34
Week16,82.98
Week17,64.67
Week18,100.87
Week19,111.06
Week20,95.08
Week21,113.19
Week22,96.82
Week23,86.36
Week24,97.48
Week25,105.52
Week26,87.29
Week27,79.34
Week28,94.16
Week29,66.23
Week30,107.3
Week31,98.01
Week32,81.85
Week33,81.26
Week34,83.73
Week35,65.95
Week36,88.4
Week37,69.9
Week38,79.03
Week39,71.21
Week40,82.56
Week41,91.92
Week42,94.09
Week43,103.91
Week44,84.42
Week45,68.86
Week46,85.92
Week47,60.75
Week48,72.47
Week49,73.26
Week50,56.71
Week51,67.2
Week52,77.89
