,value
Week1,86.55
Week2,111.27
Week3,87.48
Week4,122.86
Week5,88.07
Week6,109.48
Week7,76.31
Week8,90.01
Week9,93.8
Week10,87.32
Week11,101.2
Week12,77.37
Week13,99.55
Week14,81.07
Week15,85.86
Week16,89.51
Week17,92.02
Week18,88.45
Week19,101.53
Week20,104.8
Week21,78.9
Week22,106.29
Week23,48.55
Week24,98.79
Week25,86.19
Week26,93.0
Week27,69.91
Week28,81.63
Week29,109.74
Week30,99.12
Week31,98.3
Week32,84.69
Week33,89.83
Week34,90.37
Week35,67.79
Week36,86.61
Week37,70.64
Week38,88.4
Week39,101.24
Week40,73.38
Week41,97.5
Week42,71.66
Week43,66.88
Week44,75.28
Week45,91.72
Week46,72.36
Week47,78.79
Week48,53.33
Week49,79.84
Week50,68.89
Week51,102.94
Week52,99.67
