,value
Week1,78.11
Week2,92.3
Week3,100.22
Week4,109.29
Week5,123.59
Week6,100.23
Week7,96.11
Week8,102.8
Week9,141.68
Week10,89.95
Week11,114.83
Week12,114.26
Week13,77.14
Week14,101.41
Week15,96.3
Week16,116.18
Week17,112.99
Week18,120.55
Week19,138.2
Week20,114.92
Week21,96.82
Week22,129.22
Week23,93.84
Week24,88.62
Week25,94.37
Week26,130.16
Week27,123.06
Week28,102.46
Week29,130.35
Week30,106.83
Week31,95.41
Week32,116.53
Week33,124.94
Week34,126.34
Week35,119.92
Week36,108.4
Week37,84.49
Week38,95.89
Week39,101.87
Week40,120.98
Week41,106.27
Week42,118.47
Week43,117.52
Week44,115.86
Week45,158.8
Week46,109.87
Week47,110.99
Week48,99.11
Week49,122.96
Week50,125.98
Week51,110.31
Week52,124.93
