,value
Week1,104.28
Week2,78.9
Week3,92.74
Week4,107.06
Week5,127.32
Week6,106.59
Week7,114.03
Week8,121.14
Week9,89.01
Week10,86.71
Week11,96.59
Week12,127.5
Week13,103.48
Week14,106.8
Week15,113.09
Week16,116.98
Week17,82.9
Week18,113.14
Week19,108.96
Week20,130.32
Week21,117.24
Week22,120.35
Week23,90.82
Week24,107.76
Week25,128.02
Week26,111.58
Week27,123.68
Week28,111.25
Week29,113.38
Week30,118.43
Week31,111.28
Week32,120.46
Week33,103.8
Week34,81.0
Week35,95.36
Week36,96.39
Week37,149.6
Week38,94.71
Week39,113.97
Week40,110.33
Week41,110.5
Week42,106.22
Week43,113.4
Week44,131.63
Week45,104.57
Week46,120.39
Week47,131.66
Week48,112.16
Week49,130.15
Week50,127.31
Week51,108.49
Week52,114.95
