,value
Week1,103.51
Week2,103.98
Week3,113.56
Week4,90.55
Week5,105.81
Week6,96.81
Week7,104.99
Week8,97.44
Week9,131.24
Week10,81.27
Week11,107.73
Week12,105.64
Week13,86.04
Week14,112.67
Week15,79.85
Week16,102.35
Week17,109.08
Week18,86.35
Week19,112.69
Week20,116.26
Week21,81.02
Week22,100.91
Week23,127.52
Week24,127.23
Week25,86.4
Week26,101.14
Week27,97.7
Week28,103.12
Week29,113.88
Week30,106.81
Week31,116.1
Week32,88.57
Week33,107.0
Week34,87.22
Week35,80.13
Week36,133.56
Week37,101.38
Week38,95.81
Week39,82.2
Week40,106.44
Week41,132.07
Week42,89.43
Week43,82.28
Week44,89.65
Week45,87.49
Week46,87.02
Week47,88.57
Week48,85.88
Week49,75.99
Week50,113.92
Week51,103.37
Week52,85.17
