,value
Week1,131.57
Week2,91.84
Week3,127.93
Week4,97.26
Week5,97.89
Week6,133.84
Week7,110.77
Week8,85.7
Week9,90.06
Week10,92.05
Week11,79.42
Week12,76.68
Week13,101.38
Week14,130.46
Week15,80.19
Week16,91.0
Week17,111.38
Week18,92.04
Week19,112.06
Week20,98.3
Week21,100.73
Week22,104.07
Week23,93.06
Week24,86.55
Week25,93.73
Week26,125.25
Week27,87.83
Week28,108.12
Week29,108.09
Week30,128.58
Week31,94.88
Week32,90.27
Week33,115.98
Week34,110.36
Week35,116.04
Week36,110.13
Week37,105.96
Week38,103.03
Week39,92.33
Week40,143.05
Week41,116.82
Week42,100.15
Week43,132.98
Week44,128.88
Week45,111.94
Week46,111.86
Week47,107.65
Week48,145.0
Week49,117.54
Week50,106.6
Week51,114.13
Week52,115.41
