,value
Week1,110.32
Week2,101.21
Week3,67.61
Week4,107.75
Week5,102.38
Week6,84.75
Week7,85.02
Week8,93.89
Week9,102.48
Week10,87.66
Week11,88.7
Week12,99.86
Week13,111.2
Week14,76.29
Week15,121.12
Week16,87.8
Week17,108.34
Week18,105.42
Week19,86.44
Week20,99.98
Week21,70.99
Week22,98.99
Week23,65.14
Week24,83.24
Week25,98.47
Week26,103.96
Week27,108.44
Week28,102.21
Week29,70.07
Week30,96.92
Week31,80.13
Week32,73.46
Week33,98.64
Week34,89.35
Week35,60.63
Week36,69.16
Week37,78.86
Week38,107.76
Week39,101.86
Week40,66.76
Week41,79.6
Week42,89.72
Week43,104.45
Week44,69.34
Week45,67.34
Week46,80.4
Week47,69.03
Week48,76.82
Week49,87.0
Week50,83.44
Week51,57.24
Week52,98.69
