,value
Week1,89.19
Week2,102.27
Week3,106.44
Week4,111.15
Week5,97.94
Week6,96.03
Week7,114.26
Week8,82.49
Week9,95.2
Week10,110.31
Week11,108.05
Week12,54.43
Week13,105.16
Week14,101.05
Week15,79.94
Week16,92.38
Week17,83.26
Week18,129.47
Week19,80.83
Week20,66.2
Week21,84.86
Week22,83.93
Week23,91.76
Week24,81.76
Week25,90.05
Week26,71.46
Week27,77.02
Week28,75.44
Week29,110.68
Week30,88.1
Week31,78.17
Week32,98.05
Week33,79.94
Week34,94.46
Week35,107.87
Week36,115.23
Week37,107.53
Week38,92.59
Week39,87.86
Week40,102.58
Week41,91.75
Week42,82.22
Week43,81.83
Week44,79.48
Week45,80.11
Week46,92.13
Week47,79.65
Week48,73.99
Week49,89.32
Week50,74.7
Week51,84.64
Week52,89.21
