,value
Week1,101.55
Week2,86.99
Week3,114.69
Week4,109.12
Week5,86.58
Week6,107.77
Week7,86.47
Week8,101.4
Week9,113.94
Week10,66.11
Week11,95.41
Week12,90.38
Week13,99.7
Week14,86.4
Week15,100.73
Week16,76.56
Week17,90.7
Week18,68.99
Week19,99.98
Week20,114.2
Week21,98.78
Week22,71.96
Week23,84.18
Week24,83.1
Week25,59.62
Week26,93.85
Week27,88.19
Week28,85.79
Week29,87.3
Week30,87.56
Week31,85.0
Week32,91.59
Week33,88.76
Week34,51.9
Week35,76.71
Week36,81.67
Week37,75.78
Week38,73.82
Week39,92.44
Week40,92.26
Week41,87.23
Week42,68.02
Week43,83.61
Week44,72.01
Week45,81.35
Week46,94.51
Week47,68.73
Week48,77.07
Week49,73.37
Week50,82.47
Week51,77.3
Week52,71.99
