,value
Week1,92.22
Week2,105.23
Week3,96.49
Week4,109.86
Week5,98.45
Week6,105.49
Week7,84.88
Week8,100.81
Week9,96.01
Week10,119.04
Week11,104.09
Week12,81.7
Week13,68.94
Week14,94.5
Week15,103.0
Week16,69.03
Week17,90.07
Week18,84.2
Week19,117.17
Week20,79.59
Week21,87.9
Week22,69.06
Week23,90.71
Week24,75.25
Week25,85.67
Week26,67.45
Week27,58.16
Week28,95.39
Week29,97.38
Week30,72.55
Week31,106.05
Week32,74.81
Week33,88.86
Week34,109.78
Week35,113.86
Week36,94.03
Week37,54.57
Week38,54.13
Week39,83.43
Week40,83.64
Week41,79.51
Week42,61.96
Week43,91.06
Week44,71.57
Week45,74.54
Week46,70.02
Week47,96.3
Week48,90.87
Week49,83.36
Week50,91.06
Week51,53.57
Week52,112.12
