,value
Week1,86.39
Week2,75.3
Week3,91.82
Week4,109.62
Week5,126.33
Week6,118.87
Week7,107.49
Week8,77.35
Week9,84.98
Week10,123.37
Week11,115.96
Week12,117.27
Week13,124.88
Week14,80.63
Week15,127.97
Week16,92.96
Week17,91.16
Week18,86.97
Week19,91.66
Week20,105.5
Week21,99.59
Week22,123.21
Week23,110.39
Week24,124.59
Week25,91.89
Week26,106.26
Week27,114.76
Week28,106.89
Week29,100.82
Week30,71.11
Week31,97.84
Week32,109.36
Week33,113.62
Week34,89.18
Week35,88.69
Week36,121.31
Week37,111.13
Week38,134.73
Week39,111.76
Week40,114.43
Week41,113.78
Week42,121.48
Week43,111.59
Week44,126.36
Week45,129.47
Week46,143.96
Week47,123.59
Week48,116.66
Week49,117.29
Week50,88.99
Week51,158.58
Week52,95.29
