,value
Week1,76.76
Week2,86.25
Week3,110.38
Week4,109.43
Week5,81.75
Week6,112.58
Week7,80.6
Week8,111.61
Week9,89.84
Week10,114.92
Week11,72.26
Week12,85.93
Week13,113.58
Week14,97.69
Week15,100.87
Week16,108.71
Week17,102.07
Week18,106.59
Week19,105.58
Week20,95.01
Week21,94.53
Week22,119.01
Week23,84.67
Week24,96.53
Week25,109.99
Week26,102.87
Week27,82.1
Week28,127.37
Week29,118.67
Week30,120.68
Week31,122.31
Week32,132.15
Week33,126.27
Week34,118.19
Week35,123.94
Week36,131.44
Week37,124.27
Week38,87.44
Week39,99.42
Week40,146.5
Week41,125.59
Week42,116.71
Week43,118.05
Week44,108.86
Week45,94.17
Week46,106.48
Week47,150.79
Week48,109.14
Week49,114.01
Week50,111.96
Week51,105.36
Week52,118.49
