,value
Week1,77.18
Week2,87.56
Week3,105.45
Week4,95.17
Week5,99.07
Week6,114.38
Week7,86.02
Week8,92.71
Week9,76.7
Week10,89.03
Week11,118.04
Week12,101.73
Week13,90.59
Week14,113.71
Week15,89.76
Week16,116.48
Week17,105.12
Week18,90.72
Week19,101.57
Week20,91.18
Week21,82.74
Week22,102.81
Week23,81.58
Week24,80.61
Week25,96.59
Week26,118.34
Week27,91.09
Week28,84.06
Week29,68.95
Week30,96.64
Week31,95.3
Week32,64.47
Week33,74.92
Week34,97.1
Week35,95.51
Week36,82.83
Week37,89.78
Week38,105.25
Week39,97.0
Week40,88.28
Week41,71.43
Week42,104.39
Week43,78.68
Week44,92.98
Week45,61.86
Week46,94.33
Week47,88.94
Week48,78.52
Week49,105.29
Week50,85.6
Week51,65.87
Week52,89.15
