,value
Week1,99.11
Week2,89.35
Week3,85.35
Week4,120.53
Week5,110.76
Week6,105.8
Week7,98.59
Week8,111.75
Week9,97.4
Week10,112.56
Week11,98.48
Week12,94.62
Week13,92.06
Week14,90.25
Week15,83.36
Week16,93.62
Week17,94.94
Week18,111.08
Week19,95.71
Week20,96.84
Week21,106.07
Week22,111.95
Week23,93.64
Week24,93.77
Week25,78.99
Week26,107.18
Week27,115.98
Week28,115.28
Week29,119.68
Week30,125.26
Week31,94.55
Week32,125.46
Week33,111.92
Week34,114.93
Week35,116.04
Week36,143.16
Week37,114.44
Week38,121.76
Week39,112.33
Week40,106.17
Week41,106.81
Week42,105.37
Week43,122.9
Week44,112.22
Week45,92.27
Week46,135.61
Week47,101.12
Week48,121.72
Week49,116.12
Week50,130.1
Week51,111.59
Week52,84.78
