,value
Week1,76.73
Week2,99.71
Week3,99.91
Week4,127.27
Week5,88.01
Week6,85.69
Week7,82.38
Week8,104.22
Week9,120.37
Week10,112.69
Week11,92.27
Week12,89.86
Week13,131.29
Week14,125.79
Week15,72.35
Week16,113.53
Week17,110.35
Week18,114.07
Week19,127.17
Week20,119.01
Week21,84.2
Week22,99.73
Week23,99.17
Week24,115.13
Week25,117.52
Week26,111.65
Week27,114.61
Week28,106.92
Week29,99.61
Week30,104.4
Week31,111.8
Week32,132.64
Week33,124.99
Week34,92.3
Week35,110.55
Week36,114.47
Week37,112.77
Week38,139.14
Week39,90.53
Week40,70.47
Week41,122.73
Week42,149.6
Week43,121.63
Week44,124.08
Week45,135.72
Week46,134.4
Week47,153.64
Week48,118.98
Week49,116.77
Week50,119.7
Week51,114.82
Week52,87.76
