,value
Week1,79.53
Week2,98.03
Week3,103.97
Week4,97.13
Week5,74.92
Week6,115.35
Week7,92.95
Week8,96.61
Week9,104.4
Week10,106.09
Week11,70.28
Week12,123.39
Week13,96.18
Week14,105.67
Week15,91.06
Week16,104.94
Week17,95.8
Week18,75.95
Week19,110.91
Week20,106.32
Week21,92.99
Week22,83.69
Week23,97.13
Week24,86.03
Week25,115.7
Week26,100.97
Week27,61.76
Week28,84.26
Week29,108.5
Week30,113.4
Week31,99.26
Week32,65.58
Week33,107.82
Week34,100.94
Week35,85.92
Week36,106.33
Week37,101.71
Week38,108.47
Week39,116.99
Week40,77.62
Week41,133.78
Week42,126.43
Week43,101.48
Week44,109.38
Week45,87.79
Week46,96.67
Week47,93.48
Week48,113.77
Week49,126.87
Week50,64.57
Week51,111.52
Week52,118.01
