,value
Week1,103.76
Week2,90.46
Week3,120.95
Week4,77.18
Week5,105.15
Week6,89.71
Week7,98.48
Week8,87.19
Week9,128.82
Week10,90.37
Week11,102.93
Week12,87.24
Week13,100.93
Week14,122.12
Week15,76.89
Week16,72.52
Week17,112.46
Week18,72.43
Week19,92.65
Week20,98.61
Week21,119.9
Week22,100.79
Week23,94.62
Week24,89.15
Week25,72.71
Week26,107.57
Week27,98.8
Week28,100.75
Week29,91.69
Week30,86.48
Week31,79.63
Week32,81.22
Week33,84.43
Week34,95.31
Week35,81.56
Week36,90.97
Week37,71.06
Week38,78.41
Week39,56.25
Week40,77.38
Week41,76.88
Week42,50.05
Week43,82.64
Week44,66.58
Week45,74.5
Week46,82.74
Week47,82.25
Week48,94.21
Week49,69.58
Week50,65.92
Week51,81.59
Week52,61.46
