,value
Week1,92.04
Week2,93.02
Week3,77.87
Week4,98.47
Week5,85.36
Week6,81.31
Week7,91.03
Week8,83.76
Week9,96.16
Week10,114.67
Week11,104.83
Week12,94.17
Week13,82.04
Week14,97.35
Week15,97.82
Week16,93.04
Week17,92.72
Week18,122.04
Week19,91.93
Week20,82.17
Week21,88.03
Week22,87.99
Week23,94.21
Week24,107.91
Week25,88.34
Week26,86.04
Week27,109.2
Week28,89.76
Week29,76.49
Week30,99.75
Week31,66.59
Week32,104.93
Week33,81.86
Week34,87.96
Week35,104.62
Week36,101.86
Week37,89.69
Week38,85.25
Week39,79.23
Week40,78.58
Week41,82.72
Week42,93.52
Week43,78.77
Week44,70.01
Week45,42.12
Week46,84.96
Week47,69.61
Week48,65.24
Week49,69.57
Week50,103.83
Week51,79.72
Week52,42.53
