,value
Week1,96.39
Week2,95.97
Week3,105.56
Week4,103.73
Week5,105.64
Week6,109.99
Week7,100.4
Week8,109.05
Week9,87.14
Week10,92.46
Week11,101.73
Week12,81.25
Week13,84.7
Week14,74.37
Week15,86.14
Week16,106.11
Week17,94.35
Week18,81.83
Week19,107.3
Week20,94.89
Week21,83.91
Week22,107.48
Week23,93.21
Week24,86.26
Week25,99.68
Week26,102.27
Week27,86.77
Week28,75.52
Week29,98.45
Week30,87.18
Week31,94.15
Week32,93.66
Week33,92.82
Week34,77.98
Week35,58.64
Week36,80.94
Week37,103.79
Week38,93.81
Week39,98.98
Week40,58.27
Week41,87.06
Week42,75.69
Week43,108.46
Week44,51.21
Week45,63.32
Week46,86.74
Week47,95.19
Week48,59.88
Week49,58.95
Week50,100.38
Week51,68.99
Week52,77.2
