,value
Week1,123.86
Week2,111.41
Week3,102.53
Week4,113.54
Week5,118.06
Week6,96.17
Week7,99.04
Week8,79.69
Week9,107.45
Week10,68.03
Week11,107.89
Week12,115.4
Week13,83.09
Week14,98.13
Week15,95.77
Week16,89.56
Week17,125.33
Week18,102.37
Week19,105.34
Week20,91.46
Week21,112.47
Week22,89.15
Week23,125.74
Week24,120.46
Week25,89.1
Week26,95.65
Week27,113.73
Week28,118.69
Week29,108.44
Week30,112.55
Week31,109.09
Week32,105.13
Week33,115.66
Week34,107.22
Week35,131.64
Week36,71.43
Week37,118.74
Week38,146.99
Week39,158.2
Week40,85.17
Week41,107.27
Week42,122.24
Week43,144.93
Week44,127.26
Week45,104.31
Week46,116.24
Week47,112.42
Week48,117.03
Week49,102.68
Week50,98.32
Week51,117.92
Week52,122.76
