,value
Week1,107.6
Week2,78.5
Week3,91.58
Week4,100.6
Week5,100.17
Week6,126.49
Week7,85.93
Week8,137.08
Week9,94.21
Week10,111.13
Week11,91.6
Week12,92.93
Week13,90.36
Week14,107.79
Week15,88.44
Week16,109.86
Week17,77.57
Week18,101.54
Week19,76.94
Week20,78.08
Week21,102.03
Week22,90.3
Week23,94.48
Week24,67.37
Week25,84.49
Week26,79.61
Week27,98.74
Week28,102.79
Week29,100.69
Week30,85.93
Week31,108.8
Week32,113.74
Week33,85.11
Week34,100.29
Week35,109.11
Week36,105.22
Week37,88.44
Week38,100.28
Week39,112.54
Week40,108.04
Week41,93.24
Week42,100.39
Week43,90.56
Week44,52.97
Week45,112.04
Week46,62.78
Week47,81.65
Week48,75.51
Week49,49.66
Week50,84.07
Week51,65.16
Week52,55.62
