,value
Week1,117.17
Week2,93.16
Week3,92.39
Week4,80.41
Week5,101.82
Week6,116.59
Week7,82.29
Week8,112.0
Week9,100.0
Week10,82.06
Week11,72.57
Week12,98.85
Week13,77.15
Week14,89.48
Week15,88.6
Week16,112.72
Week17,105.23
Week18,86.43
Week19,98.54
Week20,90.61
Week21,92.94
Week22,79.87
Week23,69.9
Week24,74.01
Week25,89.27
Week26,75.25
Week27,96.55
Week28,51.67
Week29,65.89
Week30,90.56
Week31,75.96
Week32,90.93
Week33,82.17
Week34,93.38
Week35,106.7
Week36,66.5
Week37,71.58
Week38,94.76
Week39,114.49
Week40,50.61
Week41,71.64
Week42,85.55
Week43,74.35
Week44,75.04
Week45,91.25
Week46,86.38
Week47,96.81
Week48,72.97
Week49,86.0
Week50,84.53
Week51,78.0
Week52,64.08
