,value
Week1,94.38
Week2,102.95
Week3,77.18
Week4,88.03
Week5,116.33
Week6,78.3
Week7,89.62
Week8,106.37
Week9,92.19
Week10,91.81
Week11,110.54
Week12,107.96
Week13,81.02
Week14,98.1
Week15,105.4
Week16,96.9
Week17,52.45
Week18,97.17
Week19,68.36
Week20,74.52
Week21,111.67
Week22,93.89
Week23,111.08
Week24,118.34
Week25,99.36
Week26,105.77
Week27,138.01
Week28,85.69
Week29,50.74
Week30,89.52
Week31,92.74
Week32,81.86
Week33,81.37
Week34,107.36
Week35,76.54
Week36,95.12
Week37,104.97
Week38,92.87
Week39,96.08
Week40,72.06
Week41,84.97
Week42,88.14
Week43,61.79
Week44,78.34
Week45,91.35
Week46,68.37
Week47,92.14
Week48,102.13
Week49,55.46
Week50,100.88
Week51,83.26
Week52,67.96
