,value
Week1,105.1
Week2,108.17
Week3,94.41
Week4,115.97
Week5,100.41
Week6,94.8
Week7,103.28
Week8,81.19
Week9,96.18
Week10,97.33
Week11,94.62
Week12,113.3
Week13,98.45
Week14,68.62
Week15,62.33
Week16,106.62
Week17,79.16
Week18,98.24
Week19,96.88
Week20,78.56
Week21,92.41
Week22,101.92
Week23,70.76
Week24,105.55
Week25,99.08
Week26,89.17
Week27,102.1
Week28,78.21
Week29,76.97
Week30,109.77
Week31,109.01
Week32,92.23
Week33,112.91
Week34,102.54
Week35,75.22
Week36,71.81
Week37,67.94
Week38,60.32
Week39,89.55
Week40,91.94
Week41,81.79
Week42,107.92
Week43,78.05
Week44,62.62
Week45,91.59
Week46,63.0
Week47,93.72
Week48,87.36
Week49,71.4
Week50,85.84
Week51,55.21
Week52,87.45
