,value
Week1,104.24
Week2,98.12
Week3,106.68
Week4,131.49
Week5,108.47
Week6,65.25
Week7,87.91
Week8,104.83
Week9,127.9
Week10,97.2
Week11,104.86
Week12,69.03
Week13,85.59
Week14,105.13
Week15,103.92
Week16,88.32
Week17,71.03
Week18,82.83
Week19,87.54
Week20,89.02
Week21,97.82
Week22,100.01
Week23,63.1
Week24,99.02
Week25,87.7
Week26,76.24
Week27,74.67
Week28,87.0
Week29,72.89
Week30,83.35
Week31,111.12
Week32,87.72
Week33,74.81
Week34,62.09
Week35,91.22
Week36,76.1
Week37,92.0
Week38,92.21
Week39,84.56
Week40,86.7
Week41,87.89
Week42,71.52
Week43,117.22
Week44,56.59
Week45,114.62
Week46,97.71
Week47,74.55
Week48,78.28
Week49,71.46
Week50,85.88
Week51,97.85
Week52,94.11
