,value
Week1,107.69
Week2,132.16
Week3,126.09
Week4,107.24
Week5,102.55
Week6,105.91
Week7,98.98
Week8,89.46
Week9,108.04
Week10,112.46
Week11,98.69
Week12,98.21
Week13,141.89
Week14,124.39
Week15,88.84
Week16,113.09
Week17,107.92
Week18,115.66
Week19,95.36
Week20,89.68
Week21,114.03
Week22,80.18
Week23,125.49
Week24,98.27
Week25,93.5
Week26,100.65
Week27,92.43
Week28,100.72
Week29,110.73
Week30,114.73
Week31,103.17
Week32,131.21
Week33,94.35
Week34,123.84
Week35,103.29
Week36,115.67
Week37,94.12
Week38,99.7
Week39,106.5
Week40,93.7
Week41,81.65
Week42,104.35
Week43,105.09
Week44,110.43
Week45,122.02
Week46,95.56
Week47,75.25
Week48,107.14
Week49,63.16
Week50,94.94
Week51,84.71
Week52,94.59
