,value
Week1,85.89
Week2,99.95
Week3,85.92
Week4,104.54
Week5,87.46
Week6,114.27
Week7,99.46
Week8,119.52
Week9,100.82
Week10,90.02
Week11,83.87
Week12,96.79
Week13,94.22
Week14,136.73
Week15,121.66
Week16,83.93
Week17,89.23
Week18,83.23
Week19,98.06
Week20,97.53
Week21,107.18
Week22,78.17
Week23,111.41
Week24,112.8
Week25,80.15
Week26,107.47
Week27,105.11
Week28,115.97
Week29,92.59
Week30,117.25
Week31,128.47
Week32,122.91
Week33,135.08
Week34,135.21
Week35,111.43
Week36,95.57
Week37,119.7
Week38,116.45
Week39,130.84
Week40,80.2
Week41,117.03
Week42,115.14
Week43,114.62
Week44,130.31
Week45,119.95
Week46,133.94
Week47,120.01
Week48,116.8
Week49,113.94
Week50,93.56
Week51,110.04
Week52,109.0
